Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Files already downloaded and verified
Model recved successfully!
Begin!
Epoch 92, Time:285.0612757205963, Loss:2.057787068684896
Epoch 93, Time:287.7115738391876, Loss:2.1350237131118774
Epoch 94, Time:290.328241109848, Loss:2.1575461943944294
Epoch 95, Time:292.9618470668793, Loss:2.129973061879476
Epoch 96, Time:300.106036901474, Loss:2.0628425439198814
Epoch 97, Time:307.2080159187317, Loss:2.106698449452718
Epoch 98, Time:314.2898495197296, Loss:2.065352630615234
Epoch 99, Time:321.38896131515503, Loss:2.0809305429458615
Epoch 100, Time:328.51900839805603, Loss:2.1402079979578654
Epoch 101, Time:331.1874041557312, Loss:2.09841787815094
Epoch 102, Time:333.8497095108032, Loss:2.1244099140167236
Epoch 103, Time:336.5213785171509, Loss:2.047175987561544
Epoch 104, Time:339.19632506370544, Loss:2.0508360306421918
Epoch 105, Time:341.78700613975525, Loss:2.1144543886184692
Epoch 106, Time:344.4152536392212, Loss:2.08494455019633
Epoch 107, Time:347.0925667285919, Loss:2.093856994311015
Epoch 108, Time:349.75006651878357, Loss:2.1474008401234945
Epoch 109, Time:352.39859652519226, Loss:2.0799154440561933
Epoch 110, Time:355.1126866340637, Loss:2.054334266980489
Epoch 111, Time:357.8046905994415, Loss:2.1155344247817993
Epoch 112, Time:360.4722011089325, Loss:2.107126990954081
Epoch 113, Time:363.12542819976807, Loss:2.084497316678365
Epoch 114, Time:365.798859834671, Loss:2.1082919120788572
Epoch 115, Time:368.4653866291046, Loss:2.0256217559178675
Epoch 116, Time:371.1507034301758, Loss:2.1115288019180296
Epoch 117, Time:373.8077368736267, Loss:2.025286388397217
Epoch 118, Time:376.4785704612732, Loss:2.1037003914515178
Epoch 119, Time:379.1506814956665, Loss:2.0268476804097495
Epoch 120, Time:381.77177929878235, Loss:2.0495081742604575
Epoch 121, Time:384.47309970855713, Loss:2.072052494684855
Epoch 122, Time:387.1056010723114, Loss:2.0693488359451297
Epoch 123, Time:389.81697058677673, Loss:1.9870678504308068
Epoch 124, Time:392.4846992492676, Loss:2.0320150852203365
Epoch 125, Time:395.13430190086365, Loss:2.0265085299809775
Epoch 126, Time:397.80406379699707, Loss:2.069897158940633
Epoch 127, Time:400.48547101020813, Loss:1.986454701423645
Epoch 128, Time:403.1417706012726, Loss:2.052849777539571
Epoch 129, Time:405.83154034614563, Loss:2.026649030049642
Epoch 130, Time:408.4735519886017, Loss:2.0910810550053913
Epoch 131, Time:411.21481442451477, Loss:2.111622269948324
Epoch 132, Time:413.9824917316437, Loss:2.0524690628051756
